Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
RAM,PNY Performance 16GB DDR4 3200MHz CL22 Desktop RAM,PNY,"৳ 10,000","৳ 14,500","৳ 4,500",In Stock
RAM,G Skill F5-5600J3636C16GX1-IS 16GB DDR5 5600Mhz CL36 Aegis 5 Intel XMP-AMD EXPO Desktop RAM,G,"৳ 28,000","৳ 29,000","৳ 1,000",In Stock
RAM,G Skill F5-5200J4040A16GX1-IS 16GB DDR5-5200Mhz CL40 Aegis 5 Intel XMP-AMD EXPO Desktop RAM,G,"৳ 28,000","৳ 29,000","৳ 1,000",In Stock
RAM,G Skill Aegis 5 16GB DDR5 6000 MT/s CL36-36-36-96 Desktop RAM,G,"৳ 29,500","৳ 30,500","৳ 1,000",In Stock
RAM,G.Skill Trident Z 8GB DDR4 3200MHz Desktop RAM,G.Skill,"৳ 8,400","৳ 9,500","৳ 1,100",In Stock
RAM,Adata XPG Gammix D35 32GB DDR4 3200MHz Heatsink Gaming Black Desktop RAM,Adata,"৳ 36,000","৳ 38,000","৳ 2,000",In Stock
RAM,Twinmos VoltX 16GB 6000MHz CL36 DDR5 Desktop Ram,Twinmos,"৳ 30,500","৳ 31,500","৳ 1,000",In Stock
RAM,Twinmos Thunder GX 16GB 3200MHz DDR4 U-DIMM Desktop RAM - Black,Twinmos,"৳ 12,999","৳ 13,500",৳ 501,In Stock
RAM,TEAM VULCAN 8GB DDR5 6000MHz CL38-38-38-78 Heatsink Gaming Desktop RAM RED,TEAM,"৳ 12,800","৳ 14,500","৳ 1,700",In Stock
RAM,ADATA XPG GAMMIX D30 16GB 3200 BUS DDR4 Gaming RAM,ADATA,"৳ 12,500","৳ 18,000","৳ 5,500",In Stock
RAM,Gigabyte AORUS GP-ARS16G37D 16GB (2x8GB) 3733MT/s DDR4 Desktop RAM With Demo Kit,Gigabyte,"৳ 15,000","৳ 15,500",৳ 500,In Stock
RAM,Twinmos Thunder GX 8GB 3200MHz DDR4 U-DIMM Desktop RAM - Black,Twinmos,"৳ 8,800","৳ 9,500",৳ 700,In Stock
RAM,AITC KINGSMAN 16GB RGB DDR4 3600MHz Desktop RAM,AITC,"৳ 15,000","৳ 15,500",৳ 500,In Stock
RAM,OCPC VOLARE DDR5-6000 16GB CL38-42-42-90 Desktop RAM,OCPC,"৳ 27,000","৳ 30,500","৳ 3,500",In Stock
RAM,AITC Kingsman 8GB DDR4 3200Mhz Innovator Desktop Ram With Heatsink,AITC,"৳ 7,500","৳ 8,900","৳ 1,400",In Stock
RAM,Crucial Pro DDR5-6400 16GB UDIMM OC 38-40-40-84 Gaming RAM,Crucial,"৳ 29,000","৳ 31,000","৳ 2,000",In Stock
RAM,Team T-Force Delta RGB 16GB DDR5 6000MHz Latency - CL28-36-36-76 Heatsink Gaming Desktop RAM,Team,"৳ 35,500","৳ 38,500","৳ 3,000",In Stock
RAM,KINGSTON FURY BEAST 16GB DDR5 5600MHZ HEATSINK DESKTOP RAM BLACK,KINGSTON,"৳ 25,500","৳ 31,000","৳ 5,500",In Stock
RAM,Kingston Fury EXPO 8GB RGB 5600MHz DDR5 CL36 Desktop RAM,Kingston,"৳ 14,200","৳ 16,000","৳ 1,800",In Stock
RAM,Apacer NOX 8GB DDR5 5200MHz Desktop RAM,Apacer,"৳ 13,000","৳ 14,500","৳ 1,500",In Stock
RAM,Neo Forza NMGD516F82-6000LI10 16GB 6000MHz CL40 DDR5 RGB Desktop Ram,Neo,"৳ 23,500","৳ 30,500","৳ 7,000",In Stock
RAM,Neo Forza NMGD416E82-3200DE10 16GB 3200MHz DDR4 RGB Desktop Ram,Neo,"৳ 11,000","৳ 16,200","৳ 5,200",In Stock
RAM,Kingston FURY Beast 8GB (1x8GB) DDR5 5600Mhz Latency CL36 Black Desktop RAM,Kingston,"৳ 14,300","৳ 14,800",৳ 500,In Stock
RAM,G.Skill Trident Z NEO RGB 32GB DDR4 3600MHz CL18 Gaming Desktop Ram,G.Skill,"৳ 31,000","৳ 32,000","৳ 1,000",In Stock
RAM,G.SKILL TRIDENT Z5 NEO RGB 32GB DDR5 6000MHZ Desktop RAM,G.SKILL,"৳ 62,000","৳ 68,000","৳ 6,000",In Stock
RAM,G.Skill Trident Z5 RGB 16GB DDR5 6000MHz CL32 Silver Desktop RAM,G.Skill,"৳ 29,800","৳ 32,000","৳ 2,200",In Stock
RAM,PNY XLR8 Gaming EPIC-X 16GB DDR4 3200MHz RGB Desktop RAM (White),PNY,"৳ 12,999","৳ 15,500","৳ 2,501",In Stock
RAM,OCPC XT II 16GB 3200MHz DDR4 Gaming Desktop RAM (Black),OCPC,"৳ 14,800","৳ 15,800","৳ 1,000",In Stock
RAM,TEAM T-FORCE DELTA RGB 16GB (2x8GB) 6000MHz DDR5 Gaming Desktop RAM (White),TEAM,"৳ 33,600","৳ 34,500",৳ 900,In Stock
RAM,TEAM T-Force Vulkan 16GB DDR5 6000MHz CL38 Desktop Ram (Red),TEAM,"৳ 34,500","৳ 35,000",৳ 500,In Stock
RAM,TEAM T-Force XTREEM ARGB 16GB DDR5 7200MHz Desktop RAM (Black),TEAM,"৳ 37,000","৳ 39,000","৳ 2,000",In Stock
RAM,TEAM T-Force XTREEM ARGB 24GB DDR5 7200MHz Desktop RAM (Black),TEAM,"৳ 50,000","৳ 53,000","৳ 3,000",In Stock
RAM,TEAM T-FORCE DELTA RGB 16GB DDR5 5600MHz CL36 Desktop RAM (Black),TEAM,"৳ 34,500","৳ 35,500","৳ 1,000",In Stock
RAM,TEAM T-FORCE DELTA RGB 16GB DDR5 5600MHz CL36 Desktop RAM (White),TEAM,"৳ 34,500","৳ 35,500","৳ 1,000",In Stock
RAM,TEAM T-FORCE DELTA RGB 16GB DDR5 6000MHz CL38 Desktop RAM (Black),TEAM,"৳ 34,900","৳ 35,500",৳ 600,In Stock
RAM,TEAM T-FORCE DELTA RGB 16GB DDR5 6000MHz CL38 Desktop RAM (White),TEAM,"৳ 34,900","৳ 35,500",৳ 600,In Stock
RAM,Team T-create Classic 8GB DDR4 3200mhz Desktop RAM (White),Team,"৳ 7,200","৳ 8,500","৳ 1,300",In Stock
RAM,Adata SPECTRIX D45G 8GB 3200Mhz DDR4 Desktop RAM,Adata,"৳ 8,200","৳ 8,500",৳ 300,In Stock
RAM,Addlink Spider X4 16GB DDR4 3200MHz RGB Gaming Desktop RAM,Addlink,"৳ 12,500","৳ 15,200","৳ 2,700",In Stock
RAM,Addlink Spider S4 16GB DDR4 3200MHz Gaming Desktop RAM,Addlink,"৳ 12,500","৳ 15,500","৳ 3,000",In Stock
RAM,Addlink Spider S4 8GB DDR4 3200MHz Gaming Desktop RAM,Addlink,"৳ 7,000","৳ 8,500","৳ 1,500",In Stock
RAM,Addlink Spider X5 16GB DDR5 6000MHz RGB Gaming Desktop RAM,Addlink,"৳ 28,500","৳ 31,000","৳ 2,500",In Stock
RAM,Corsair VENGEANCE RGB 16GB DDR5 6000MHz CL-36 Desktop RAM (Black),Corsair,"৳ 30,000","৳ 32,500","৳ 2,500",In Stock
RAM,Kingston FURY Beast 16GB 6000Mhz CL30 DDR5 Desktop RAM,Kingston,"৳ 31,500","৳ 33,000","৳ 1,500",In Stock
RAM,XOC FROST 8GB 3200MHz DDR4 CL16 RGB RAM (WHITE),XOC,"৳ 7,000","৳ 8,500","৳ 1,500",In Stock
RAM,Dahua C600 16GB DDR4 3200MHz U-DIMM Desktop RAM,Dahua,"৳ 12,500","৳ 15,500","৳ 3,000",In Stock
RAM,Dahua C600 8GB DDR4 3200MHz U-DIMM Desktop RAM,Dahua,"৳ 7,800","৳ 9,500","৳ 1,700",In Stock
RAM,CORSAIR VENGEANCE 16GB DDR5 5600MHZ RAM (WHITE),CORSAIR,"৳ 28,000","৳ 29,000","৳ 1,000",In Stock
RAM,G.Skill Trident Z5 CL36 RGB 24GB 7200Mhz DDR5 Desktop RAM,G.Skill,"৳ 54,000","৳ 59,000","৳ 5,000",In Stock
RAM,Team T-Force Delta TUF RGB 16GB DDR5 6000MHz Heatsink Gaming Desktop RAM,Team,"৳ 30,000","৳ 31,000","৳ 1,000",In Stock
RAM,Team T-Force Xtreem 16GB DDR5 8000MHz Heatsink Desktop RAM,Team,"৳ 40,000","৳ 40,500",৳ 500,In Stock
RAM,OCPC PISTA DDR5 6000MHZ 16GB RGB DESKTOP RAM,OCPC,"৳ 27,000","৳ 27,500",৳ 500,In Stock
RAM,"৳ 16,500",৳,In Stock,Buy Now,G.Skill Trident Z Neo 16GB DDR4 3600MHz RGB Gaming Desktop RAM,Out of Stock
RAM,Adata XPG Spectrix D35G 16GB DDR4 3200MHz RGB Gaming Desktop RAM,Adata,"৳ 13,500","৳ 18,500","৳ 5,000",In Stock
RAM,Adata XPG Spectrix D35G 8GB DDR4 3200MHz RGB Gaming Desktop RAM,Adata,"৳ 8,500","৳ 10,500","৳ 2,000",In Stock
RAM,ADATA XPG D35 8GB DDR4 3200MHz Desktop RAM,ADATA,"৳ 8,500","৳ 9,500","৳ 1,000",In Stock
RAM,Adata XPG LANCER 16GB DDR5 6000MHz RGB Gaming Desktop RAM,Adata,"৳ 34,000","৳ 38,000","৳ 4,000",In Stock
RAM,LEXAR ARES RGB 32GB (16*2) DDR5 6000MHZ GAMING DESKTOP RAM,LEXAR,"৳ 53,000","৳ 62,000","৳ 9,000",In Stock
RAM,LEXAR THOR 16GB 3200MHZ DDR4 CL16 GAMING DESKTOP RAM,LEXAR,"৳ 12,500","৳ 15,500","৳ 3,000",In Stock
RAM,G.SKILL RIPJAWS S5 16GB DDR5 5200MHZ DESKTOP RAM BLACK,G.SKILL,"৳ 27,000","৳ 29,000","৳ 2,000",In Stock
RAM,AITC MASTER DDR5 16GB 6000MHZ DESKTOP GAMING RAM WHITE,AITC,"৳ 29,500","৳ 30,500","৳ 1,000",In Stock
RAM,KIMTIGO WOLFRINE UDIMM 8GB DDR4 3200MHZ DESKTOP RAM,KIMTIGO,"৳ 7,500","৳ 7,800",৳ 300,In Stock
RAM,G.SKILL TRIDENT Z5 NEO RGB 16GB DDR5 5600MHZ DESKTOP RAM,G.SKILL,"৳ 28,500","৳ 32,200","৳ 3,700",In Stock
RAM,G.SKILL TRIDENT Z5 NEO RGB 16GB DDR5 6000MHZ DESKTOP RAM,G.SKILL,"৳ 30,500","৳ 32,000","৳ 1,500",In Stock
RAM,PATRIOT SIGNATURE LINE PREMIUM 8GB DDR4 3200MHZ DESKTOP RAM,PATRIOT,"৳ 7,500","৳ 8,000",৳ 500,In Stock
RAM,APACER PANTHER 16GB 6000MHZ DDR5 CL38 RGB GAMING DESKTOP RAM,APACER,"৳ 27,500","৳ 32,000","৳ 4,500",In Stock
RAM,APACER NOX 16GB 3200MHZ DDR4 RGB AURA2 WHITE RAM,APACER,"৳ 13,000","৳ 16,200","৳ 3,200",In Stock
RAM,APACER NOX 16GB 3200MHZ DDR4 GAMING DESKTOP RAM,APACER,"৳ 12,500","৳ 15,500","৳ 3,000",In Stock
RAM,Kingston FURY Beast 32GB DDR5 6000MHz CL30 RGB Desktop RAM,Kingston,"৳ 59,500","৳ 69,000","৳ 9,500",In Stock
RAM,COLORFUL BATTLE-AX 16GB DDR4 3200 MHZ DESKTOP RAM,COLORFUL,"৳ 15,500","৳ 17,000","৳ 1,500",In Stock
RAM,OCPC X3 RGB 16GB DDR4 3200MHZ DESKTOP RAM (WHITE),OCPC,"৳ 14,900","৳ 16,200","৳ 1,300",In Stock
RAM,OCPC X3 RGB 16GB DDR4 3200MHZ DESKTOP RAM (BLACK),OCPC,"৳ 14,999","৳ 16,200","৳ 1,201",In Stock
RAM,APACER NOX 8GB 3600MHZ CL18 DDR4 GAMING DESKTOP RAM,APACER,"৳ 7,800","৳ 8,900","৳ 1,100",In Stock
RAM,APACER DDR4 8GB 3200MHZ NOX RGB WHITE RAM,APACER,"৳ 8,200","৳ 9,500","৳ 1,300",In Stock
RAM,OCPC X3 RGB 8GB DDR4 3200MHZ DESKTOP RAM (WHITE),OCPC,"৳ 8,300","৳ 9,000",৳ 700,In Stock
RAM,OCPC X3 RGB 8GB DDR4 3200MHZ DESKTOP RAM (BLACK),OCPC,"৳ 8,200","৳ 9,000",৳ 800,In Stock
RAM,OCPC XT II 8GB DDR4 3200MHZ DESKTOP RAM (BLACK),OCPC,"৳ 7,800","৳ 8,500",৳ 700,In Stock
RAM,APACER PANTHER GOLDEN 4GB DDR4 2666MHZ DESKTOP HEATSINK RAM,APACER,"৳ 2,800","৳ 3,500",৳ 700,In Stock
RAM,G.SKILL Trident Z Neo 8GB 3600MHz RGB Ram,G.SKILL,"৳ 8,800","৳ 9,500",৳ 700,In Stock
RAM,G.SKILL Trident Z Neo 16GB 3600MHz RGB Ram,G.SKILL,"৳ 16,000","৳ 16,500",৳ 500,In Stock
RAM,G.SKILL FLARE X5 16GB DDR5 5600MHZ DEKSTOP RAM,G.SKILL,"৳ 28,000","৳ 29,000","৳ 1,000",In Stock
RAM,G.SKILL TRIDENT Z5 32GB DDR5 6000MHZ RGB DESKTOP RAM,G.SKILL,"৳ 62,500","৳ 65,500","৳ 3,000",In Stock
RAM,G.SKILL RIPJAWS-V 16GB DDR4 3600MHZ DESKTOP RAM,G.SKILL,"৳ 15,000","৳ 15,500",৳ 500,In Stock
RAM,WALTON ANTIQUE WRL0836AS 8GB DDR4 3600MHZ RGB DESKTOP RAM,WALTON,"৳ 5,000","৳ 6,500","৳ 1,500",In Stock
RAM,WALTON WRL0836BU 8GB DDR4 3600 MHZ DESKTOP RAM,WALTON,"৳ 5,000","৳ 6,500","৳ 1,500",In Stock
RAM,WALTON WRL0836BR 8GB DDR4 3600 MHZ DESKTOP RAM,WALTON,"৳ 5,000","৳ 6,500","৳ 1,500",In Stock
RAM,WALTON WRL0836AR 8GB DDR4 3600 MHZ DESKTOP RAM,WALTON,"৳ 5,000","৳ 6,500","৳ 1,500",In Stock
RAM,HP V6 8GB 3200MHZ DDR4 U-DIMM DESKTOP RAM,HP,"৳ 7,800","৳ 8,500",৳ 700,In Stock
RAM,G.SKILL AEGIS 16GB DDR4 3200MHZ DESKTOP RAM,G.SKILL,"৳ 14,800","৳ 15,500",৳ 700,In Stock
RAM,G.SKILL AEGIS 8GB DDR4 3200MHZ DESKTOP RAM,G.SKILL,"৳ 7,700","৳ 8,500",৳ 800,In Stock
RAM,KINGSTON FURY BEAST 16GB 6000MHZ CL30 DDR5 EXPO RGB DESKTOP RAM,KINGSTON,"৳ 29,000","৳ 34,500","৳ 5,500",In Stock
RAM,G.SKILL TRIDENT Z5 RGB 32GB DDR5 5600MHZ DESKTOP RAM,G.SKILL,"৳ 52,500","৳ 53,000",৳ 500,In Stock
RAM,PNY XLR8 8GB RGB DDR4 3200MHZ DESKTOP RAM (WHITE ),PNY,"৳ 8,500","৳ 9,000",৳ 500,In Stock
RAM,Gigabyte AORUS RGB Memory DDR4 8GB 3733MHz Desktop Ram,Gigabyte,"৳ 7,800","৳ 8,500",৳ 700,In Stock
RAM,LEXAR THOR 8GB DDR4 3200 BUS GAMING RAM,LEXAR,"৳ 7,500","৳ 8,500","৳ 1,000",In Stock
RAM,G.Skill Ripjaws-V 32GB DDR4 3200Mhz Desktop Ram,G.Skill,"৳ 27,300","৳ 27,900",৳ 600,In Stock
RAM,Adata XPG LANCER 16GB DDR5 6000MHz Gaming Desktop RAM,Adata,"৳ 34,000","৳ 38,000","৳ 4,000",In Stock
RAM,GSKILL RIPJAWS S5 DDR5 6000MHZ 16GB RAM,GSKILL,"৳ 29,500","৳ 30,500","৳ 1,000",In Stock
RAM,TEAM T-FORCE VULCAN Z (Grey) 8GB 3200MHz DDR4 Gaming RAM,TEAM,"৳ 7,500","৳ 9,200","৳ 1,700",In Stock
RAM,Team Delta RGB 16GB DDR5 6400MHz Desktop RAM,Team,"৳ 30,000","৳ 34,000","৳ 4,000",In Stock
RAM,KINGSTON FURY BEAST 8GB 3200MHZ DDR4 DESKTOP RAM,KINGSTON,"৳ 8,200","৳ 9,900","৳ 1,700",In Stock
RAM,KINGSTON FURY BEAST 16GB 3200MHZ DDR4 DESKTOP RAM,KINGSTON,"৳ 17,500","৳ 19,500","৳ 2,000",In Stock
RAM,TEAM T-FORCE VULCAN Z RED 8GB 3200MHz DDR4 Gaming RAM TLZRD48G3200HC16F01,TEAM,"৳ 7,500","৳ 8,500","৳ 1,000",In Stock
RAM,OLOY 16GB (8*2) 3200MHZ RGB DDR4 DESKTOP RAM,OLOY,"৳ 15,000","৳ 17,000","৳ 2,000",In Stock
RAM,Team T-Force Delta 8GB 3200MHz DDR4 RGB White Desktop Gaming RAM,Team,"৳ 9,900","৳ 10,500",৳ 600,In Stock
RAM,CORSAIR VENGEANCE RGB PRO SL 32GB (2x16GB) DDR4 3200MHz Desktop RAM,CORSAIR,"৳ 30,000","৳ 34,000","৳ 4,000",In Stock
RAM,APACER NOX 16GB DDR4 3200MHz RGB AURA2 DIMM Desktop Ram,APACER,"৳ 13,000","৳ 15,500","৳ 2,500",In Stock
