Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Motherboard,Gigabyte B760M GAMING X GEN5 Wi-Fi 6E DDR5 Gaming Motherboard,Gigabyte,"৳ 23,000","৳ 24,000","৳ 1,000",In Stock
Motherboard,GIGABYTE B650 UD AX AMD AM5 DDR5 ATX Motherboard,GIGABYTE,"৳ 21,500","৳ 22,500","৳ 1,000",In Stock
Motherboard,Asus B850M MAX GAMING WIFI AMD DDR5 mATX Motherboard,Asus,"৳ 28,500","৳ 29,900","৳ 1,400",In Stock
Motherboard,Gigabyte B850 AORUS ELITE WIFI7 AMD DDR5 ATX Motherboard,Gigabyte,"৳ 36,000","৳ 38,000","৳ 2,000",In Stock
Motherboard,GIGABYTE B850M FORCE WIFI6E AMD AM5 DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 21,000","৳ 25,500","৳ 4,500",In Stock
Motherboard,Gigabyte X870 EAGLE WIFI 7 DDR5 ATX AM5 Motherboard,Gigabyte,"৳ 34,500","৳ 38,500","৳ 4,000",In Stock
Motherboard,Gigabyte B550M GAMING X WIFI6 AMD AM4 Micro ATX Motherboard,Gigabyte,"৳ 16,500","৳ 17,500","৳ 1,000",In Stock
Motherboard,GIGABYTE AMD B550M DS3H AC R2 DDR4 Micro ATX Motherboard,GIGABYTE,"৳ 12,900","৳ 15,500","৳ 2,600",In Stock
Motherboard,GIGABYTE B850M EAGLE WIFI6E AMD AM5 DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 26,500","৳ 35,000","৳ 8,500",In Stock
Motherboard,Gigabyte X870 GAMING X WIFI7 AM5 DDR5 ATX Motherboard,Gigabyte,"৳ 36,500","৳ 40,000","৳ 3,500",In Stock
Motherboard,Gigabyte X870M AORUS ELITE WIFI 7 Micro ATX AM5 Motherboard,Gigabyte,"৳ 39,000","৳ 45,000","৳ 6,000",In Stock
Motherboard,GIGABYTE X870E AORUS PRO DDR5 AM5 ATX Motherboard,GIGABYTE,"৳ 54,000","৳ 55,500","৳ 1,500",In Stock
Motherboard,NZXT N9 Z890 Intel LGA1851 Wi-Fi 7 ATX Gaming Motherboard,NZXT,"৳ 59,500","৳ 61,000","৳ 1,500",In Stock
Motherboard,ASUS PRIME H610M-R D4 Intel LGA 1700 Micro-ATX Motherboard,ASUS,"৳ 10,300","৳ 12,500","৳ 2,200",In Stock
Motherboard,MSI PRO B650M-E DDR5 AMD AM5 mATX Motherboard,MSI,"৳ 11,300","৳ 15,000","৳ 3,700",In Stock
Motherboard,MSI PRO B850M-A WIFI DDR5 AM5 mATX Motherboard,MSI,"৳ 27,200","৳ 28,000",৳ 800,In Stock
Motherboard,MSI B850M GAMING PLUS WIFI6E AM5 mATX Motherboard,MSI,"৳ 22,000","৳ 26,000","৳ 4,000",In Stock
Motherboard,MSI PRO B650M-E DDR5 AMD AM5 mATX Motherboard,MSI,"৳ 11,700","৳ 13,500","৳ 1,800",In Stock
Motherboard,MSI B840M GAMING WIFI6E AM5 DDR5 mATX Motherboard,MSI,"৳ 18,600","৳ 21,900","৳ 3,300",In Stock
Motherboard,Msi X870E GAMING PLUS WIFI DDR5 AM5 ATX Motherboard,Msi,"৳ 39,200","৳ 44,900","৳ 5,700",In Stock
Motherboard,ASUS B850M AYW GAMING WIFI AMD AM5 mATX Gaming Motherboard,ASUS,"৳ 26,500","৳ 28,200","৳ 1,700",In Stock
Motherboard,Asus ROG STRIX Z890-H GAMING WIFI LGA1851 DDR5 ATX Motherboard,Asus,"৳ 56,500","৳ 59,500","৳ 3,000",In Stock
Motherboard,MAXSUN Terminator B850M WIFI DDR5 AMD AM5 Motherboard,MAXSUN,"৳ 23,500","৳ 26,000","৳ 2,500",In Stock
Motherboard,GIGABYTE X870 AORUS ELITE WIFI7 ICE DDR5 AMD AM5 ATX Motherboard,GIGABYTE,"৳ 45,000","৳ 52,200","৳ 7,200",In Stock
Motherboard,Asus TUF GAMING B850-BTF WIFI W AMD AM5 DDR5 ATX Motherboard,Asus,"৳ 41,000","৳ 45,000","৳ 4,000",In Stock
Motherboard,Asus ROG STRIX B850-G GAMING WIFI mATX Motherboard White,Asus,"৳ 39,000","৳ 42,500","৳ 3,500",In Stock
Motherboard,MSI PRO H610M-G WIFI DDR4 LGA1700 m-ATX Motherboard,MSI,"৳ 12,800","৳ 14,500","৳ 1,700",In Stock
Motherboard,Asus PRIME A520M-R AM4 micro ATX Motherboard,Asus,"৳ 8,400","৳ 9,200",৳ 800,In Stock
Motherboard,MSI X870 GAMING PLUS WIFI DDR5 AM5 Motherboard,MSI,"৳ 39,900","৳ 43,500","৳ 3,600",In Stock
Motherboard,MSI PRO H810M-B DDR5 LGA1851 mATX Motherboard,MSI,"৳ 16,200","৳ 18,500","৳ 2,300",In Stock
Motherboard,ASUS TUF GAMING B850-E WIFI AMD AM5 DDR5 ATX Motherboard,ASUS,"৳ 35,500","৳ 38,000","৳ 2,500",In Stock
Motherboard,MSI MAG B850M MORTAR WIFI AM5 mATX DDR5 AMD Motherboard,MSI,"৳ 31,900","৳ 35,500","৳ 3,600",In Stock
Motherboard,ASUS X870 MAX Gaming WIFI7 AMD AM5 DDR5 ATX Motherboard,ASUS,"৳ 41,500","৳ 45,500","৳ 4,000",In Stock
