Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Graphics Card,ZOTAC GAMING GeForce RTX 5060 Twin Edge OC 8GB GDDR7 Graphics Card,ZOTAC,"৳ 51,999","৳ 56,000","৳ 4,001",In Stock
Graphics Card,Manli Nebula GeForce RTX 5050 8GB GDDR6 Graphics Card,Manli,"৳ 45,000","৳ 45,500",৳ 500,In Stock
Graphics Card,GIGABYTE GEFORCE RTX­­ 4070 TI AERO OC 12GB GDDR6X GRAPHICS CARD,GIGABYTE,"৳ 123,000","৳ 136,000","৳ 13,000",In Stock
Graphics Card,ASUS ROG Strix GeForce RTX 5070 Ti 16GB GDDR7 OC Edition Graphics Card,ASUS,"৳ 207,900","৳ 212,000","৳ 4,100",In Stock
Graphics Card,MSI GeForce RTX 5070 12G GAMING TRIO OC WHITE Graphics Card,MSI,"৳ 105,900","৳ 109,900","৳ 4,000",In Stock
Graphics Card,MSI GeForce RTX 5060 8G SHADOW 2X OC GDDR7 Graphics Card,MSI,"৳ 51,500","৳ 53,500","৳ 2,000",In Stock
Graphics Card,MSI GeForce RTX 5060 Ti 16G SHADOW 2X OC PLUS GDDR7 Graphics Card,MSI,"৳ 86,999","৳ 95,000","৳ 8,001",In Stock
Graphics Card,MSI GeForce RTX 5060 8G VENTUS 2X OC WHITE 8GB GDDR7 Graphics Card,MSI,"৳ 54,900","৳ 58,900","৳ 4,000",In Stock
Graphics Card,MSI GeForce RTX 5060 Ti 8G VENTUS 2X OC PLUS GDDR7 Graphics Card,MSI,"৳ 69,900","৳ 72,900","৳ 3,000",In Stock
Graphics Card,PNY GeForce RTX 5070 12GB GDDR7 OC Triple Fan Graphics Card,PNY,"৳ 83,999","৳ 115,000","৳ 31,001",In Stock
Graphics Card,MSI GeForce RTX 5060 Ti 8G SHADOW 2X OC PLUS GDDR7 Graphics Card,MSI,"৳ 67,900","৳ 69,900","৳ 2,000",In Stock
Graphics Card,MSI GeForce RTX 5060 8G GAMING OC 8GB GDDR7 Graphics Card,MSI,"৳ 57,900","৳ 60,000","৳ 2,100",In Stock
Graphics Card,MSI GeForce RTX 5060 8G INSPIRE 2X OC 8GB GDDR7 Graphics Card,MSI,"৳ 56,900","৳ 58,900","৳ 2,000",In Stock
Graphics Card,PNY GeForce RTX 5060 8GB OC Dual Fan Graphics Card,PNY,"৳ 51,000","৳ 55,000","৳ 4,000",In Stock
Graphics Card,Manli Nebula GeForce RTX 5060 OC 8GB GDDR7 Graphics Card,Manli,"৳ 59,000","৳ 60,000","৳ 1,000",In Stock
Graphics Card,Manli Nebula GeForce RTX 5060 Ti 8GB GDDR7 Graphics Card,Manli,"৳ 64,000","৳ 69,000","৳ 5,000",In Stock
Graphics Card,PowerColor Hellhound AMD Radeon RX 9060 XT 8GB GDDR6 Graphics Card,PowerColor,"৳ 61,000","৳ 62,000","৳ 1,000",In Stock
Graphics Card,PowerColor Fighter AMD Radeon RX 7700 XT 12GB GDDR6 Graphics Card,PowerColor,"৳ 70,000","৳ 72,000","৳ 2,000",In Stock
Graphics Card,PowerColor Hellhound AMD Radeon RX 9060 XT 16GB GDDR6 Graphics Card,PowerColor,"৳ 75,000","৳ 77,000","৳ 2,000",In Stock
Graphics Card,PowerColor Red Devil Spectral White AMD Radeon RX 9070 XT 16GB GDDR6 Graphics Card (White),PowerColor,"৳ 130,000","৳ 132,000","৳ 2,000",In Stock
Graphics Card,PowerColor Reaper AMD Radeon RX 9060 XT 8GB GDDR6 Graphics Card (Black),PowerColor,"৳ 55,000","৳ 56,000","৳ 1,000",In Stock
Graphics Card,Sapphire Pure AMD Radeon RX 9060 XT GAMING OC 16GB GDDR6 Graphics Card,Sapphire,"৳ 66,900","৳ 70,000","৳ 3,100",In Stock
Graphics Card,Sapphire Pulse AMD Radeon RX 9060 XT GAMING OC 16GB GDDR6 Graphics Card,Sapphire,"৳ 65,900","৳ 69,900","৳ 4,000",In Stock
Graphics Card,Manli Nebula GeForce RTX 5060 8GB GDDR7 Graphics Card,Manli,"৳ 53,000","৳ 55,000","৳ 2,000",In Stock
Graphics Card,Manli Polar Fox GeForce RTX 5060 OC 8GB GDDR7 Graphics Card,Manli,"৳ 55,000","৳ 57,000","৳ 2,000",In Stock
Graphics Card,Manli Polar Fox GeForce RTX 5060 Ti OC 16GB GDDR7 Graphics Card,Manli,"৳ 88,000","৳ 89,500","৳ 1,500",In Stock
Graphics Card,Manli Polar Fox GeForce RTX 5070 Ti OC 16GB GDDR7 Graphics Card,Manli,"৳ 157,000","৳ 159,000","৳ 2,000",In Stock
Graphics Card,Manli Gallardo GeForce RTX 5090 OC 32GB GDDR7 Graphics Card,Manli,"৳ 559,000","৳ 570,000","৳ 11,000",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5070 AMP 12GB GDDR7 Graphics Card White Edition,ZOTAC,"৳ 105,900","৳ 107,900","৳ 2,000",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5060 SOLO 8GB GDDR7 Graphics Card,ZOTAC,"৳ 47,000","৳ 59,500","৳ 12,500",In Stock
Graphics Card,MSI GeForce RTX 5080 16G VENTUS 3X OC 16GB GDDR7 Graphics Card,MSI,"৳ 201,000","৳ 222,000","৳ 21,000",In Stock
Graphics Card,Zotac GeForce RTX 5070 Twin Edge 12GB GDDR7 Graphics Card,Zotac,"৳ 101,900","৳ 102,500",৳ 600,In Stock
Graphics Card,SAPPHIRE PULSE AMD RADEON RX 9070 XT GAMING 16GB DUAL Graphics Card,SAPPHIRE,"৳ 109,900","৳ 122,500","৳ 12,600",In Stock
Graphics Card,MSI GeForce RTX 5060 Ti 16G INSPIRE 2X OC 16GB GDDR7 Graphics Card,MSI,"৳ 82,499","৳ 95,000","৳ 12,501",In Stock
Graphics Card,MSI GeForce RTX 5060 Ti 16G VENTUS 3X OC 16GB GDDR7 Graphics Card,MSI,"৳ 93,500","৳ 99,500","৳ 6,000",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5070 Ti SOLID SFF OC 16GB GDDR7 Graphics Card,ZOTAC,"৳ 129,999","৳ 152,900","৳ 22,901",In Stock
Graphics Card,MSI GeForce RTX 5070 12G SHADOW 2X OC 12GB GDDR7 Graphics Card,MSI,"৳ 104,900","৳ 106,290","৳ 1,390",In Stock
Graphics Card,PNY GeForce RTX 5070 Ti OC 16GB Triple Fan Graphics Card,PNY,"৳ 127,000","৳ 145,000","৳ 18,000",In Stock
Graphics Card,PNY NVIDIA GeForce RTX 5070 ARGB EPIC-X RGB OC Triple Fan GDDR7 Graphics Card,PNY,"৳ 86,999","৳ 119,000","৳ 32,001",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5060 Ti AMP 8GB GDDR7 Graphics Card,ZOTAC,"৳ 71,900","৳ 75,000","৳ 3,100",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5060 Ti Twin Edge 16GB GDDR7 Graphics Card,ZOTAC,"৳ 84,900","৳ 86,500","৳ 1,600",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5060 Ti Twin Edge OC 8GB GDDR7 Graphics Card,ZOTAC,"৳ 68,900","৳ 70,500","৳ 1,600",In Stock
Graphics Card,Powercolor Hellhound AMD Radeon RX 9070 16GB GDDR6 Graphics Card,Powercolor,"৳ 106,000","৳ 109,000","৳ 3,000",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5080 SOLID OC 16GB GDDR7 Graphics Card,ZOTAC,"৳ 210,900","৳ 215,900","৳ 5,000",In Stock
Graphics Card,MSI GeForce RTX 5080 16G VENTUS 3X OC PLUS 16GB GDDR7 Graphics Card,MSI,"৳ 201,999","৳ 234,000","৳ 32,001",In Stock
Graphics Card,MSI GeForce RTX 5080 16G INSPIRE 3X OC 16GB GDDR7 Graphics Card,MSI,"৳ 199,999","৳ 231,900","৳ 31,901",In Stock
Graphics Card,Sapphire PURE AMD Radeon RX 9070 XT 16GB GDDR6 Graphics Card,Sapphire,"৳ 114,900","৳ 117,900","৳ 3,000",In Stock
Graphics Card,OCPC GTX 1660 Ti MCL 6GB GDDR6 Graphics Card,OCPC,"৳ 23,500","৳ 26,500","৳ 3,000",In Stock
Graphics Card,GIGABYTE GeForce RTX 5070 GAMING OC 12G Graphics Card,GIGABYTE,"৳ 109,500","৳ 125,000","৳ 15,500",In Stock
Graphics Card,Gigabyte GeForce RTX 5070 EAGLE OC SFF 12G GDDR7 Graphics Card,Gigabyte,"৳ 107,000","৳ 111,000","৳ 4,000",In Stock
Graphics Card,Gigabyte GeForce RTX 5070 WINDFORCE OC SFF 12G GDDR7 Graphics Card,Gigabyte,"৳ 106,000","৳ 128,000","৳ 22,000",In Stock
Graphics Card,Gigabyte GeForce RTX 5070 EAGLE OC ICE SFF 12G Graphics Card,Gigabyte,"৳ 114,000","৳ 125,000","৳ 11,000",In Stock
Graphics Card,ASUS TUF Gaming GeForce RTX 4070 Ti SUPER BTF 16GB GDDR6X OC Edition White Graphics Card,ASUS,"৳ 152,000","৳ 161,000","৳ 9,000",In Stock
Graphics Card,ASUS PRIME GeForce RTX 5070 Ti 16GB GDDR7 OC Edition Graphics Card,ASUS,"৳ 163,900","৳ 185,000","৳ 21,100",In Stock
